playerID,awardID,yearID,lgID,tie,notes
cobbty01,Most Valuable Player,1911,AL,,
schulfr01,Most Valuable Player,1911,NL,,
speaktr01,Most Valuable Player,1912,AL,,
doylela01,Most Valuable Player,1912,NL,,
johnswa01,Most Valuable Player,1913,AL,,
daubeja01,Most Valuable Player,1913,NL,,
collied01,Most Valuable Player,1914,AL,,
eversjo01,Most Valuable Player,1914,NL,,
sislege01,Most Valuable Player,1922,AL,,
ruthba01,Most Valuable Player,1923,AL,,
johnswa01,Most Valuable Player,1924,AL,,
vanceda01,Most Valuable Player,1924,NL,,
peckiro01,Most Valuable Player,1925,AL,,
hornsro01,Most Valuable Player,1925,NL,,
burnsge02,Most Valuable Player,1926,AL,,
ofarrbo01,Most Valuable Player,1926,NL,,
gehrilo01,Most Valuable Player,1927,AL,,
wanerpa01,Most Valuable Player,1927,NL,,
cochrmi01,Most Valuable Player,1928,AL,,
bottoji01,Most Valuable Player,1928,NL,,
hornsro01,Most Valuable Player,1929,NL,,
grovele01,Most Valuable Player,1931,AL,,
friscfr01,Most Valuable Player,1931,NL,,
foxxji01,Most Valuable Player,1932,AL,,
kleinch01,Most Valuable Player,1932,NL,,
foxxji01,Most Valuable Player,1933,AL,,
hubbeca01,Most Valuable Player,1933,NL,,
cochrmi01,Most Valuable Player,1934,AL,,
deandi01,Most Valuable Player,1934,NL,,
greenha01,Most Valuable Player,1935,AL,,
hartnga01,Most Valuable Player,1935,NL,,
gehrilo01,Most Valuable Player,1936,AL,,
hubbeca01,Most Valuable Player,1936,NL,,
gehrich01,Most Valuable Player,1937,AL,,
medwijo01,Most Valuable Player,1937,NL,,
foxxji01,Most Valuable Player,1938,AL,,
lombaer01,Most Valuable Player,1938,NL,,
dimagjo01,Most Valuable Player,1939,AL,,
waltebu01,Most Valuable Player,1939,NL,,
greenha01,Most Valuable Player,1940,AL,,
mccorfr01,Most Valuable Player,1940,NL,,
dimagjo01,Most Valuable Player,1941,AL,,
camildo01,Most Valuable Player,1941,NL,,
gordojo01,Most Valuable Player,1942,AL,,
coopemo01,Most Valuable Player,1942,NL,,
chandsp01,Most Valuable Player,1943,AL,,
musiast01,Most Valuable Player,1943,NL,,
newhoha01,Most Valuable Player,1944,AL,,
marioma01,Most Valuable Player,1944,NL,,
newhoha01,Most Valuable Player,1945,AL,,
cavarph01,Most Valuable Player,1945,NL,,
willite01,Most Valuable Player,1946,AL,,
musiast01,Most Valuable Player,1946,NL,,
dimagjo01,Most Valuable Player,1947,AL,,
elliobo01,Most Valuable Player,1947,NL,,
boudrlo01,Most Valuable Player,1948,AL,,
musiast01,Most Valuable Player,1948,NL,,
willite01,Most Valuable Player,1949,AL,,
robinja02,Most Valuable Player,1949,NL,,
rizzuph01,Most Valuable Player,1950,AL,,
konstji01,Most Valuable Player,1950,NL,,
berrayo01,Most Valuable Player,1951,AL,,
camparo01,Most Valuable Player,1951,NL,,
shantbo01,Most Valuable Player,1952,AL,,
sauerha01,Most Valuable Player,1952,NL,,
rosenal01,Most Valuable Player,1953,AL,,
camparo01,Most Valuable Player,1953,NL,,
berrayo01,Most Valuable Player,1954,AL,,
mayswi01,Most Valuable Player,1954,NL,,
berrayo01,Most Valuable Player,1955,AL,,
camparo01,Most Valuable Player,1955,NL,,
newcodo01,Cy Young Award,1956,ML,,
mantlmi01,Most Valuable Player,1956,AL,,
newcodo01,Most Valuable Player,1956,NL,,
spahnwa01,Cy Young Award,1957,ML,,
mantlmi01,Most Valuable Player,1957,AL,,
aaronha01,Most Valuable Player,1957,NL,,
turlebo01,Cy Young Award,1958,ML,,
jenseja01,Most Valuable Player,1958,AL,,
bankser01,Most Valuable Player,1958,NL,,
wynnea01,Cy Young Award,1959,ML,,
foxne01,Most Valuable Player,1959,AL,,
bankser01,Most Valuable Player,1959,NL,,
lawve01,Cy Young Award,1960,ML,,
marisro01,Most Valuable Player,1960,AL,,
groatdi01,Most Valuable Player,1960,NL,,
fordwh01,Cy Young Award,1961,ML,,
marisro01,Most Valuable Player,1961,AL,,
robinfr02,Most Valuable Player,1961,NL,,
drysddo01,Cy Young Award,1962,ML,,
mantlmi01,Most Valuable Player,1962,AL,,
willsma01,Most Valuable Player,1962,NL,,
koufasa01,Cy Young Award,1963,ML,,
howarel01,Most Valuable Player,1963,AL,,
koufasa01,Most Valuable Player,1963,NL,,
chancde01,Cy Young Award,1964,ML,,
robinbr01,Most Valuable Player,1964,AL,,
boyerke01,Most Valuable Player,1964,NL,,
koufasa01,Cy Young Award,1965,ML,,
versazo01,Most Valuable Player,1965,AL,,
mayswi01,Most Valuable Player,1965,NL,,
koufasa01,Cy Young Award,1966,ML,,
robinfr02,Most Valuable Player,1966,AL,,
clemero01,Most Valuable Player,1966,NL,,
lonboji01,Cy Young Award,1967,AL,,
mccormi03,Cy Young Award,1967,NL,,
yastrca01,Most Valuable Player,1967,AL,,
cepedor01,Most Valuable Player,1967,NL,,
mclaide01,Cy Young Award,1968,AL,,
gibsobo01,Cy Young Award,1968,NL,,
mclaide01,Most Valuable Player,1968,AL,,
gibsobo01,Most Valuable Player,1968,NL,,
cuellmi01,Cy Young Award,1969,AL,Y,
mclaide01,Cy Young Award,1969,AL,Y,
seaveto01,Cy Young Award,1969,NL,,
killeha01,Most Valuable Player,1969,AL,,
mccovwi01,Most Valuable Player,1969,NL,,
perryji01,Cy Young Award,1970,AL,,
gibsobo01,Cy Young Award,1970,NL,,
powelbo01,Most Valuable Player,1970,AL,,
benchjo01,Most Valuable Player,1970,NL,,
bluevi01,Cy Young Award,1971,AL,,
jenkife01,Cy Young Award,1971,NL,,
