playerID,yearID,votedBy,ballots,needed,votes,inducted,category,needed_note
cobbty01,1936,BBWAA,226,170,222,Y,Player,
ruthba01,1936,BBWAA,226,170,215,Y,Player,
wagneho01,1936,BBWAA,226,170,215,Y,Player,
mathech01,1936,BBWAA,226,170,205,Y,Player,
johnswa01,1936,BBWAA,226,170,189,Y,Player,
lajoina01,1937,BBWAA,201,151,168,Y,Player,
speaktr01,1937,BBWAA,201,151,165,Y,Player,
youngcy01,1937,BBWAA,201,151,153,Y,Player,
alexape01,1938,BBWAA,262,197,212,Y,Player,
sislege01,1939,BBWAA,274,206,235,Y,Player,
collied01,1939,BBWAA,274,206,213,Y,Player,
keelewi01,1939,BBWAA,274,206,207,Y,Player,
ansonca01,1939,Old Timers,,,,Y,Player,
ewingbu01,1939,Old Timers,,,,Y,Player,
gehrilo01,1939,Special Election,,,,Y,Player,
radboch01,1939,Old Timers,,,,Y,Player,
hornsro01,1942,BBWAA,233,175,182,Y,Player,
bresnro01,1945,Old Timers,,,,Y,Player,
broutda01,1945,Old Timers,,,,Y,Player,
clarkfr01,1945,Old Timers,,,,Y,Player,
colliji01,1945,Old Timers,,,,Y,Player,
delahed01,1945,Old Timers,,,,Y,Player,
duffyhu01,1945,Old Timers,,,,Y,Player,
jennihu01,1945,Old Timers,,,,Y,Player,
kellyki01,1945,Old Timers,,,,Y,Player,
orourji01,1945,Old Timers,,,,Y,Player,
burkeje01,1946,Old Timers,,,,Y,Player,
chancfr01,1946,Old Timers,,,,Y,Player,
chesbja01,1946,Old Timers,,,,Y,Player,
eversjo01,1946,Old Timers,,,,Y,Player,
griffcl01,1946,Old Timers,,,,Y,Player,
mccarto01,1946,Old Timers,,,,Y,Player,
mcginjo01,1946,Old Timers,,,,Y,Player,
planked01,1946,Old Timers,,,,Y,Player,
tinkejo01,1946,Old Timers,,,,Y,Player,
wadderu01,1946,Old Timers,,,,Y,Player,
walshed01,1946,Old Timers,,,,Y,Player,
hubbeca01,1947,BBWAA,161,121,140,Y,Player,
friscfr01,1947,BBWAA,161,121,136,Y,Player,
cochrmi01,1947,BBWAA,161,121,128,Y,Player,
grovele01,1947,BBWAA,161,121,123,Y,Player,
pennohe01,1948,BBWAA,121,91,94,Y,Player,
traynpi01,1948,BBWAA,121,91,93,Y,Player,
gehrich01,1949,Run Off,187,,159,Y,Player,1st
brownmo01,1949,Old Timers,,,,Y,Player,
nichoki01,1949,Old Timers,,,,Y,Player,
ottme01,1951,BBWAA,226,170,197,Y,Player,
foxxji01,1951,BBWAA,226,170,179,Y,Player,
heilmha01,1952,BBWAA,234,176,203,Y,Player,
wanerpa01,1952,BBWAA,234,176,195,Y,Player,
deandi01,1953,BBWAA,264,198,209,Y,Player,
simmoal01,1953,BBWAA,264,198,199,Y,Player,
bendech01,1953,Veterans,,,,Y,Player,
wallabo01,1953,Veterans,,,,Y,Player,
maranra01,1954,BBWAA,252,189,209,Y,Player,
dickebi01,1954,BBWAA,252,189,202,Y,Player,
terrybi01,1954,BBWAA,252,189,195,Y,Player,
dimagjo01,1955,BBWAA,251,189,223,Y,Player,
lyonste01,1955,BBWAA,251,189,217,Y,Player,
vanceda01,1955,BBWAA,251,189,205,Y,Player,
hartnga01,1955,BBWAA,251,189,195,Y,Player,
bakerfr01,1955,Veterans,,,,Y,Player,
schalra01,1955,Veterans,,,,Y,Player,
greenha01,1956,BBWAA,193,145,164,Y,Player,
cronijo01,1956,BBWAA,193,145,152,Y,Player,
crawfsa01,1957,Veterans,,,,Y,Player,
wheatza01,1959,Veterans,,,,Y,Player,
careyma01,1961,Veterans,,,,Y,Player,
hamilbi01,1961,Veterans,,,,Y,Player,
fellebo01,1962,BBWAA,160,120,150,Y,Player,
robinja02,1962,BBWAA,160,120,124,Y,Player,
roushed01,1962,Veterans,,,,Y,Player,
clarkjo01,1963,Veterans,,,,Y,Player,
flickel01,1963,Veterans,,,,Y,Player,
ricesa01,1963,Veterans,,,,Y,Player,
rixeyep01,1963,Veterans,,,,Y,Player,
applilu01,1964,Run Off,201,,189,Y,Player,1st
faberre01,1964,Veterans,,,,Y,Player,
grimebu01,1964,Veterans,,,,Y,Player,
keefeti01,1964,Veterans,,,,Y,Player,
